Denmark, 5.40
Qatar, 5.14
Hong Kong, 5.04
Switzerland, 4.96
United Arab Emirates, 4.90
Oman, 4.80
United States, 4.69
Kuwait, 4.59
Iceland, 4.39
Norway, 4.39
Singapore, 4.15
Finland, 4.02
China, 3.95
Israel, 3.82
Saudi Arabia, 3.82
Jordan, 3.78,
Sweden, 3.70
Korea (Republic of), 3.59
Luxembourg, 3.58
Uruguay, 3.58
India, 1.83,
TÃ¼rkiye, 1.54
Russian Federation, 2.91
United Kingdom, 3.36
Canada, 3.53
Germany, 3.06
Brazil, 1.55
Italy, 1.54
Poland, 2.48
Romania, 2.01
Netherlands, 3.09
Australia, 3.24
Spain, 1.92
Ukraine, 1.13
Greece, 3.14
Mexico, 2.55
Czechia, 2.46
Hungary, 1.57
Pakistan, 1.32
Egypt, 1.99
South Africa, 1.72