Switzerland,	0.967
Norway,	0.966
is,	0.959
Hong Kong,	0.956
Denmark,	0.952
Sweden,	0.952
Germany,	0.95
Ireland,	0.95
Singapore,	0.949
Australia,	0.946
Netherlands,	0.946
Belgium,	0.942
Finland,	0.942
Liechtenstein,	0.942
United Kingdom,	0.94
New Zealand,	0.939
United Arab Emirates,	0.937
Canada,	0.935
South Korea,	0.929
Luxembourg,	0.927
United States,	0.927
Austria,	0.926
Slovenia,	0.926
Japan,	0.92
Israel,	0.915
Malta,	0.915
Spain,	0.911
France,	0.91
Cyprus,	0.907
Italy,	0.906
Estonia,	0.899
Czechia,	0.895
Greece,	0.893
Bahrain,	0.888
Andorra,	0.884
Poland,	0.881
Latvia,	0.879
Lithuania,	0.879
Croatia,	0.878
Qatar,	0.875
Saudi Arabia,	0.875
Portugal,	0.874
San Marino,	0.867
Chile,	0.86
Slovakia,	0.855
Turkey,	0.855
Hungary,	0.851
Argentina,	0.849
Kuwait,	0.847
Montenegro,	0.844
Saint Kitts and Nevis,	0.838
Uruguay,	0.83
Romania,	0.827
Antigua and Barbuda,	0.826
Brunei Darussalam,	0.823
Russia,	0.821
Bahamas,	0.82
Panama,	0.82
Oman,	0.819
Georgia,	0.814
Trinidad and Tobago,	0.814
Barbados,	0.809
Malaysia,	0.807
Costa Rica,	0.806
Serbia,	0.805
Thailand,	0.803
Kazakhstan,	0.802
Seychelles,	0.802
Belarus,	0.801
Bulgaria,	0.799
Palau,	0.797
Mauritius,	0.796
Grenada,	0.793
Albania,	0.789
China,	0.788
Armenia,	0.786
Mexico,	0.781
Iran,	0.78
Sri Lanka,	0.78
Bosnia and Herzegovina,	0.779
Saint Vincent and the Grenadines,	0.772
Dominican Republic,	0.766
Ecuador,	0.765
North Macedonia,	0.765
Cuba,	0.764
Moldova,	0.763
Maldives,	0.762
Peru,	0.762
Azerbaijan,	0.76
Brazil,	0.76
Colombia,	0.758
Libya,	0.746
Algeria,	0.745
Turkmenistan,	0.744
Guyana,	0.742
Mongolia,	0.741
Dominica,	0.74
Tonga,	0.739
Jordan,	0.736
Ukraine,	0.734
Tunisia,	0.732
Marshall Islands,	0.731
Paraguay,	0.731
Fiji,	0.729
Egypt,	0.728
Uzbekistan,	0.727
Viet Nam,	0.726
Saint Lucia,	0.725
Lebanon,	0.723
South Africa,	0.717
Palestine,	0.716
Indonesia,	0.713
Philippines,	0.71
Botswana,	0.708
Jamaica,	0.706
Samoa,	0.702
Kyrgyzstan,	0.701
Belize,	0.7
Venezuela,	0.699
Bolivia,	0.698
Morocco,	0.698
Nauru,	0.696
Gabon,	0.693
Suriname,	0.69
Bhutan,	0.681
Tajikistan,	0.679
El Salvador,	0.674
Iraq,	0.673
Bangladesh,	0.67
Nicaragua,	0.669
Cabo Verde,	0.661
Tuvalu,	0.653
Equatorial Guinea,	0.65
India,	0.644
Micronesia,	0.634
Guatemala,	0.629
Kiribati,	0.628
Honduras,	0.624
Laos,	0.62
Vanuatu,	0.614
Sao Tome and Principe,	0.613
Eswatini (Kingdom of),	0.61
Namibia,	0.61
Myanmar,	0.608
Ghana,	0.602
Kenya,	0.601
Nepal,	0.601
Cambodia,	0.6
Congo,	0.593
Angola,	0.591
Cameroon,	0.587
Comoros,	0.586
Zambia,	0.569
Papua New Guinea,	0.568
Timor-Leste,	0.566
Solomon Islands,	0.562
Syrian Arab Republic,	0.557
Haiti,	0.552
Uganda,	0.55
Zimbabwe,	0.55
Nigeria,	0.548
Rwanda,	0.548
Togo,	0.547
Mauritania,	0.54
Pakistan,	0.54
C̫te d'Ivoire,	0.534
Tanzania (United Republic of),	0.532
Lesotho,	0.521
Senegal,	0.517
Sudan,	0.516
Djibouti,	0.515
Malawi,	0.508
Benin,	0.504
Gambia,	0.495
Eritrea,	0.493
Ethiopia,	0.492
Liberia,	0.487
Madagascar,	0.487
Guinea-Bissau,	0.483
Congo (Democratic Republic of the),	0.481
Guinea,	0.471
Afghanistan,	0.462
Mozambique,	0.461
Sierra Leone,	0.458
Burkina Faso,	0.438
Yemen,	0.424
Burundi,	0.42
Mali,	0.41
Chad,	0.394
Niger,	0.394
Central African Republic,	0.387
South Sudan,	0.381
Somalia,	0.38
