Montana,0.95
Maine,0.95
Vermont,0.95
New Hampshire,0.94
Wyoming,0.94
Minnesota,0.94
North Dakota,0.94
Alaska,0.94
Wisconsin,0.93
Utah,0.93
Iowa,0.93
South Dakota,0.93
Hawaii,0.93
Colorado,0.93
District of Columbia,0.93
Washington,0.92
Nebraska,0.92
Kansas,0.92
Michigan,0.92
Pennsylvania,0.92
Idaho,0.92
Oregon,0.92
Missouri,0.92
Ohio,0.92
Delaware,0.91
Massachusetts,0.91
Connecticut,0.91
Virginia,0.91
Maryland,0.91
New Jersey,0.91
Illinois,0.90
Indiana,0.90
North Carolina,0.90
Florida,0.90
South Carolina,0.90
Tennessee,0.90
Rhode Island,0.90
Arizona,0.89
Oklahoma,0.89
Georgia,0.89
Arkansas,0.89
West Virginia,0.89
Kentucky,0.89
Alabama,0.88
New York,0.88
New Mexico,0.88
Nevada,0.87
Louisiana,0.87
Mississippi,0.87
Texas,0.86
California,0.85