Andorra, Football
Albania, Football
Austria, Football
Ã…land Islands, Football
Bosnia and Herzegovina, Football
Belgium, Football
Bulgaria, Football
Belarus, Football
Switzerland, Football
Cyprus, Football
Czech Republic, Football
Germany, Football
Denmark, Football
Estonia, Basketball
Spain, Football
Finland, Ice hockey
Faroe Islands, Football
France, Football
United Kingdom, Football
Greece, Football
Croatia, Football
Hungary, Football
Ireland, Football
Icland, Football
Italy, Football
Liechtenstein, Football
Lithuania, Basketball
Luxembourg, Football
Latvia, Football
Monaco, Football
Moldova, Football
North Macedonia, Football
Malta, Football
Netherlands, Football
Norway, Football
Poland, Football
Portugal, Football
Romania, Football
Russia, Football
Sweden, Football
Slovenia, Football
Slovakia, Football
San Marino, Football
Ukraine, Football
Vatican City, Football
Kosovo, Football
Montenegro, Water polo
Moldova, Football
Serbia, Football
Turkey, Football
Greenland, Football
Armenia, Football
Azerbaijan, Football
Algeria, Football
Georgia, Football
Israel, Football
Iraq, Football
Iran, Football
Jordan, Football
Kazakhstan, Football
Lebanon, Football
Morocco, Football
Palestine, Football
Saudi Arabia, Football 
Syria, Football
Tunisia, Football

